
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LC3_2019.Flowering.Detritivore 0.042 0.036 0.007 0.009 0.019 0.032 0.054 0.111
p.LC3_2019.Flowering.Rice_herb   0.910 0.060 0.757 0.797 0.885 0.925 0.952 0.975
p.LC3_2019.Flowering.Tour_herb   0.047 0.044 0.004 0.006 0.018 0.034 0.063 0.132
p.LC3_2019.Ripening.Detritivore  0.012 0.015 0.001 0.001 0.003 0.007 0.015 0.039
p.LC3_2019.Ripening.Rice_herb    0.966 0.028 0.885 0.909 0.956 0.974 0.985 0.994
p.LC3_2019.Ripening.Tour_herb    0.022 0.022 0.002 0.003 0.008 0.015 0.029 0.064
p.LO1_2018.Tillering.Detritivore 0.402 0.172 0.106 0.146 0.276 0.387 0.512 0.705
p.LO1_2018.Tillering.Rice_herb   0.315 0.136 0.058 0.092 0.222 0.310 0.404 0.544
p.LO1_2018.Tillering.Tour_herb   0.283 0.152 0.023 0.046 0.171 0.277 0.381 0.541
p.LO1_2018.Flowering.Detritivore 0.024 0.029 0.002 0.003 0.008 0.015 0.027 0.072
p.LO1_2018.Flowering.Rice_herb   0.817 0.139 0.431 0.534 0.761 0.851 0.914 0.966
p.LO1_2018.Flowering.Tour_herb   0.159 0.132 0.012 0.019 0.066 0.126 0.214 0.426
p.LO1_2018.Ripening.Detritivore  0.007 0.011 0.000 0.000 0.001 0.004 0.008 0.025
p.LO1_2018.Ripening.Rice_herb    0.905 0.103 0.584 0.702 0.886 0.936 0.966 0.987
p.LO1_2018.Ripening.Tour_herb    0.088 0.100 0.005 0.009 0.029 0.057 0.106 0.281
p.LO1_2019.Tillering.Detritivore 0.237 0.133 0.042 0.060 0.137 0.216 0.313 0.487
p.LO1_2019.Tillering.Rice_herb   0.629 0.135 0.330 0.398 0.545 0.640 0.722 0.837
p.LO1_2019.Tillering.Tour_herb   0.134 0.102 0.010 0.015 0.056 0.113 0.188 0.329
p.LO1_2019.Flowering.Detritivore 0.007 0.010 0.001 0.001 0.002 0.004 0.008 0.021
p.LO1_2019.Flowering.Rice_herb   0.951 0.045 0.830 0.866 0.937 0.964 0.981 0.993
p.LO1_2019.Flowering.Tour_herb   0.041 0.043 0.002 0.003 0.013 0.029 0.055 0.122
p.LO1_2019.Ripening.Detritivore  0.002 0.003 0.000 0.000 0.000 0.001 0.002 0.007
p.LO1_2019.Ripening.Rice_herb    0.980 0.020 0.925 0.940 0.973 0.986 0.993 0.997
p.LO1_2019.Ripening.Tour_herb    0.018 0.019 0.001 0.002 0.006 0.013 0.024 0.058
p.LO2_2018.Tillering.Detritivore 0.565 0.187 0.184 0.242 0.434 0.567 0.707 0.864
p.LO2_2018.Tillering.Rice_herb   0.295 0.143 0.058 0.079 0.187 0.288 0.385 0.556
p.LO2_2018.Tillering.Tour_herb   0.139 0.130 0.007 0.011 0.043 0.097 0.198 0.412
p.LO2_2018.Flowering.Detritivore 0.040 0.045 0.004 0.005 0.014 0.026 0.049 0.126
p.LO2_2018.Flowering.Rice_herb   0.877 0.096 0.611 0.681 0.837 0.906 0.947 0.977
p.LO2_2018.Flowering.Tour_herb   0.082 0.083 0.005 0.007 0.024 0.055 0.113 0.251
p.LO2_2018.Ripening.Detritivore  0.012 0.017 0.000 0.001 0.002 0.006 0.014 0.042
p.LO2_2018.Ripening.Rice_herb    0.949 0.047 0.817 0.856 0.931 0.964 0.981 0.993
p.LO2_2018.Ripening.Tour_herb    0.039 0.042 0.002 0.003 0.011 0.025 0.053 0.122
p.LO2_2019.Tillering.Detritivore 0.623 0.131 0.370 0.411 0.534 0.621 0.711 0.845
p.LO2_2019.Tillering.Rice_herb   0.280 0.114 0.073 0.100 0.196 0.278 0.359 0.473
p.LO2_2019.Tillering.Tour_herb   0.096 0.077 0.007 0.012 0.038 0.078 0.134 0.250
p.LO2_2019.Flowering.Detritivore 0.042 0.038 0.007 0.009 0.018 0.031 0.053 0.116
p.LO2_2019.Flowering.Rice_herb   0.894 0.082 0.679 0.743 0.865 0.915 0.949 0.975
p.LO2_2019.Flowering.Tour_herb   0.064 0.068 0.005 0.006 0.021 0.044 0.083 0.184
p.LO3_2018.Tillering.Detritivore 0.536 0.198 0.143 0.209 0.400 0.527 0.677 0.874
p.LO3_2018.Tillering.Rice_herb   0.364 0.174 0.060 0.086 0.230 0.365 0.487 0.645
p.LO3_2018.Tillering.Tour_herb   0.101 0.145 0.005 0.007 0.022 0.046 0.095 0.473
p.LO3_2018.Ripening.Detritivore  0.010 0.015 0.000 0.000 0.002 0.005 0.010 0.035
p.LO3_2018.Ripening.Rice_herb    0.966 0.043 0.838 0.877 0.959 0.981 0.991 0.996
p.LO3_2018.Ripening.Tour_herb    0.025 0.040 0.001 0.001 0.005 0.011 0.026 0.102
p.LO3_2019.Tillering.Detritivore 0.593 0.278 0.026 0.038 0.516 0.690 0.791 0.889
p.LO3_2019.Tillering.Rice_herb   0.368 0.272 0.067 0.087 0.174 0.268 0.434 0.922
p.LO3_2019.Tillering.Tour_herb   0.039 0.034 0.004 0.006 0.016 0.029 0.053 0.106
p.LO3_2019.Flowering.Detritivore 0.044 0.044 0.000 0.001 0.012 0.033 0.061 0.127
p.LO3_2019.Flowering.Rice_herb   0.930 0.059 0.773 0.815 0.905 0.944 0.972 0.995
p.LO3_2019.Flowering.Tour_herb   0.026 0.030 0.001 0.002 0.008 0.017 0.034 0.084
p.LO3_2019.Ripening.Detritivore  0.011 0.014 0.000 0.000 0.002 0.007 0.015 0.039
p.LO3_2019.Ripening.Rice_herb    0.976 0.023 0.915 0.931 0.968 0.983 0.993 0.998
p.LO3_2019.Ripening.Tour_herb    0.012 0.015 0.001 0.001 0.003 0.007 0.016 0.039
p.MC_2017.Tillering.Detritivore  0.526 0.200 0.154 0.206 0.379 0.519 0.674 0.867
p.MC_2017.Tillering.Rice_herb    0.221 0.128 0.036 0.049 0.120 0.199 0.298 0.458
p.MC_2017.Tillering.Tour_herb    0.253 0.155 0.018 0.033 0.129 0.238 0.356 0.532
p.MC_2017.Flowering.Detritivore  0.049 0.055 0.003 0.005 0.014 0.030 0.060 0.160
p.MC_2017.Flowering.Rice_herb    0.771 0.127 0.478 0.544 0.693 0.786 0.868 0.947
p.MC_2017.Flowering.Tour_herb    0.180 0.117 0.017 0.027 0.088 0.162 0.250 0.397
p.MC_2017.Ripening.Detritivore   0.017 0.029 0.000 0.001 0.002 0.007 0.018 0.071
p.MC_2017.Ripening.Rice_herb     0.883 0.086 0.671 0.714 0.836 0.905 0.951 0.983
p.MC_2017.Ripening.Tour_herb     0.100 0.080 0.008 0.011 0.040 0.080 0.140 0.262
p.MC1_2018.Tillering.Detritivore 0.234 0.171 0.027 0.038 0.104 0.188 0.325 0.572
p.MC1_2018.Tillering.Rice_herb   0.691 0.168 0.276 0.362 0.598 0.722 0.814 0.904
p.MC1_2018.Tillering.Tour_herb   0.075 0.073 0.006 0.009 0.029 0.056 0.100 0.203
p.MC1_2018.Flowering.Detritivore 0.007 0.011 0.000 0.001 0.002 0.004 0.008 0.023
p.MC1_2018.Flowering.Rice_herb   0.971 0.034 0.897 0.920 0.965 0.980 0.989 0.996
p.MC1_2018.Flowering.Tour_herb   0.022 0.031 0.001 0.002 0.006 0.013 0.027 0.064
p.MC1_2018.Ripening.Detritivore  0.002 0.005 0.000 0.000 0.000 0.001 0.002 0.007
p.MC1_2018.Ripening.Rice_herb    0.988 0.020 0.956 0.967 0.986 0.992 0.996 0.999
p.MC1_2018.Ripening.Tour_herb    0.010 0.018 0.001 0.001 0.003 0.006 0.012 0.029
p.MC1_2019.Tillering.Detritivore 0.311 0.169 0.055 0.079 0.186 0.283 0.416 0.632
p.MC1_2019.Tillering.Rice_herb   0.554 0.163 0.207 0.266 0.446 0.564 0.673 0.806
p.MC1_2019.Tillering.Tour_herb   0.134 0.109 0.010 0.015 0.050 0.104 0.194 0.347
p.MC1_2019.Flowering.Detritivore 0.011 0.014 0.001 0.001 0.003 0.007 0.014 0.034
p.MC1_2019.Flowering.Rice_herb   0.943 0.048 0.819 0.844 0.922 0.958 0.977 0.991
p.MC1_2019.Flowering.Tour_herb   0.046 0.045 0.003 0.004 0.014 0.031 0.064 0.135
p.MC1_2019.Ripening.Detritivore  0.003 0.005 0.000 0.000 0.001 0.002 0.003 0.012
p.MC1_2019.Ripening.Rice_herb    0.975 0.025 0.908 0.926 0.967 0.983 0.992 0.997
p.MC1_2019.Ripening.Tour_herb    0.021 0.023 0.001 0.002 0.006 0.014 0.029 0.067
p.MC2_2018.Tillering.Detritivore 0.287 0.219 0.033 0.046 0.118 0.221 0.408 0.753
p.MC2_2018.Tillering.Rice_herb   0.599 0.217 0.108 0.163 0.462 0.646 0.766 0.883
p.MC2_2018.Tillering.Tour_herb   0.114 0.107 0.007 0.011 0.040 0.083 0.153 0.321
p.MC2_2018.Flowering.Detritivore 0.014 0.029 0.000 0.001 0.002 0.005 0.012 0.056
p.MC2_2018.Flowering.Rice_herb   0.944 0.072 0.752 0.817 0.933 0.966 0.985 0.994
p.MC2_2018.Flowering.Tour_herb   0.042 0.062 0.002 0.003 0.010 0.024 0.050 0.148
p.MC2_2018.Ripening.Detritivore  0.004 0.014 0.000 0.000 0.000 0.001 0.003 0.016
p.MC2_2018.Ripening.Rice_herb    0.976 0.039 0.874 0.913 0.973 0.987 0.994 0.998
p.MC2_2018.Ripening.Tour_herb    0.020 0.033 0.001 0.001 0.004 0.010 0.023 0.069
p.MC2_2019.Tillering.Detritivore 0.537 0.156 0.189 0.255 0.438 0.548 0.648 0.770
p.MC2_2019.Tillering.Rice_herb   0.379 0.136 0.149 0.184 0.280 0.366 0.460 0.628
p.MC2_2019.Tillering.Tour_herb   0.084 0.074 0.007 0.010 0.031 0.063 0.116 0.229
p.MC2_2019.Flowering.Detritivore 0.026 0.019 0.004 0.005 0.012 0.021 0.033 0.063
p.MC2_2019.Flowering.Rice_herb   0.938 0.036 0.852 0.869 0.919 0.945 0.966 0.983
p.MC2_2019.Flowering.Tour_herb   0.036 0.030 0.003 0.005 0.014 0.028 0.050 0.097
p.MC3_2018.Tillering.Detritivore 0.518 0.206 0.138 0.188 0.366 0.509 0.670 0.871
p.MC3_2018.Tillering.Rice_herb   0.233 0.139 0.031 0.044 0.129 0.214 0.315 0.489
p.MC3_2018.Tillering.Tour_herb   0.248 0.159 0.014 0.025 0.120 0.235 0.351 0.539
p.MC3_2018.Flowering.Detritivore 0.049 0.066 0.003 0.005 0.013 0.027 0.056 0.174
p.MC3_2018.Flowering.Rice_herb   0.773 0.150 0.417 0.485 0.688 0.807 0.889 0.957
p.MC3_2018.Flowering.Tour_herb   0.178 0.134 0.011 0.019 0.073 0.148 0.248 0.445
p.MC3_2018.Ripening.Detritivore  0.016 0.030 0.000 0.001 0.002 0.007 0.017 0.062
p.MC3_2018.Ripening.Rice_herb    0.886 0.099 0.625 0.685 0.846 0.915 0.956 0.985
p.MC3_2018.Ripening.Tour_herb    0.098 0.090 0.006 0.009 0.034 0.070 0.132 0.279
p.MC3_2019.Tillering.Detritivore 0.328 0.161 0.077 0.103 0.208 0.305 0.424 0.634
p.MC3_2019.Tillering.Rice_herb   0.298 0.115 0.095 0.119 0.215 0.293 0.373 0.500
p.MC3_2019.Tillering.Tour_herb   0.374 0.131 0.093 0.143 0.290 0.380 0.461 0.583
p.MC3_2019.Flowering.Detritivore 0.018 0.020 0.002 0.002 0.006 0.012 0.023 0.057
p.MC3_2019.Flowering.Rice_herb   0.782 0.119 0.503 0.555 0.710 0.803 0.871 0.941
p.MC3_2019.Flowering.Tour_herb   0.200 0.116 0.029 0.045 0.112 0.180 0.273 0.420
p.MC3_2019.Ripening.Detritivore  0.005 0.008 0.000 0.000 0.001 0.003 0.007 0.018
p.MC3_2019.Ripening.Rice_herb    0.893 0.065 0.735 0.772 0.859 0.906 0.941 0.973
p.MC3_2019.Ripening.Tour_herb    0.101 0.064 0.017 0.023 0.055 0.089 0.134 0.221
p.MO_2017.Tillering.Detritivore  0.445 0.194 0.094 0.134 0.300 0.442 0.581 0.779
p.MO_2017.Tillering.Rice_herb    0.281 0.173 0.035 0.047 0.134 0.258 0.404 0.594
p.MO_2017.Tillering.Tour_herb    0.274 0.209 0.016 0.027 0.103 0.220 0.401 0.696
p.MO_2017.Flowering.Detritivore  0.030 0.033 0.002 0.004 0.010 0.019 0.037 0.094
p.MO_2017.Flowering.Rice_herb    0.767 0.206 0.302 0.354 0.623 0.848 0.935 0.978
p.MO_2017.Flowering.Tour_herb    0.203 0.197 0.006 0.010 0.042 0.120 0.343 0.599
p.MO_2017.Ripening.Detritivore   0.010 0.015 0.000 0.000 0.002 0.005 0.011 0.036
p.MO_2017.Ripening.Rice_herb     0.880 0.126 0.545 0.615 0.825 0.930 0.972 0.991
p.MO_2017.Ripening.Tour_herb     0.110 0.122 0.003 0.005 0.021 0.060 0.162 0.368
p.MO1_2018.Tillering.Detritivore 0.602 0.278 0.097 0.138 0.371 0.618 0.872 0.976
p.MO1_2018.Tillering.Rice_herb   0.225 0.207 0.007 0.010 0.045 0.165 0.355 0.649
p.MO1_2018.Tillering.Tour_herb   0.172 0.177 0.005 0.008 0.039 0.109 0.246 0.569
p.MO1_2018.Flowering.Detritivore 0.133 0.183 0.002 0.003 0.012 0.036 0.191 0.551
p.MO1_2018.Flowering.Rice_herb   0.719 0.226 0.246 0.300 0.539 0.788 0.920 0.979
p.MO1_2018.Flowering.Tour_herb   0.148 0.145 0.006 0.010 0.043 0.101 0.201 0.454
p.MO1_2018.Ripening.Detritivore  0.041 0.066 0.000 0.001 0.003 0.011 0.047 0.180
p.MO1_2018.Ripening.Rice_herb    0.872 0.119 0.573 0.625 0.810 0.913 0.967 0.991
p.MO1_2018.Ripening.Tour_herb    0.087 0.094 0.003 0.005 0.022 0.055 0.118 0.274
p.MO1_2019.Tillering.Detritivore 0.659 0.177 0.245 0.334 0.550 0.674 0.792 0.922
p.MO1_2019.Tillering.Rice_herb   0.200 0.121 0.027 0.040 0.108 0.185 0.269 0.417
p.MO1_2019.Tillering.Tour_herb   0.141 0.115 0.008 0.013 0.054 0.113 0.198 0.356
p.MO1_2019.Flowering.Detritivore 0.072 0.081 0.006 0.008 0.023 0.046 0.089 0.233
p.MO1_2019.Flowering.Rice_herb   0.812 0.117 0.539 0.590 0.746 0.833 0.902 0.958
p.MO1_2019.Flowering.Tour_herb   0.115 0.090 0.008 0.013 0.046 0.092 0.162 0.290
p.MO1_2019.Ripening.Detritivore  0.027 0.049 0.001 0.001 0.004 0.010 0.027 0.115
p.MO1_2019.Ripening.Rice_herb    0.914 0.075 0.713 0.769 0.885 0.936 0.966 0.987
p.MO1_2019.Ripening.Tour_herb    0.059 0.053 0.004 0.006 0.022 0.045 0.080 0.164
