"d13C","d15N","Farm","Stage"
-24.50571105,6.837648144,"LC1_2019","Tillering"
-24.77065769,7.602204961,"LC1_2019","Tillering"
-26.58114724,6.972179513,"LO1_2019","Tillering"
-25.03086084,7.874232757,"LO1_2019","Tillering"
-25.59332091,7.422429837,"LO1_2019","Tillering"
-26.11597601,7.376662497,"LO1_2019","Tillering"
-25.99095569,7.251441759,"LO1_2019","Tillering"
-25.24144897,8.883577538,"LC2_2019","Tillering"
-25.92928609,8.336510759,"LC2_2019","Tillering"
-24.67449504,8.785881302,"LC2_2019","Tillering"
-25.1310074,9.11427155,"LC2_2019","Tillering"
-23.98227282,9.646228628,"LC2_2019","Tillering"
-25.03548314,8.420688427,"LC2_2019","Tillering"
-26.30874094,7.048486728,"LO2_2019","Tillering"
-24.76507336,10.15377671,"LO2_2019","Tillering"
-24.85977634,10.79498072,"LO2_2019","Tillering"
-24.38222563,8.898560297,"LO2_2019","Tillering"
-24.17761317,10.31931275,"LO2_2019","Tillering"
-24.84396031,9.711888222,"LO2_2019","Tillering"
-24.98852303,9.881023752,"LC3_2019","Tillering"
-25.86187135,10.75161481,"LC3_2019","Tillering"
-25.31471623,11.10403794,"LC3_2019","Tillering"
-25.3402725,10.86776454,"LC3_2019","Tillering"
-24.63926932,8.530253009,"LC3_2019","Tillering"
-24.79645293,8.540559867,"LC3_2019","Tillering"
-25.22262495,8.161979473,"LO3_2019","Tillering"
-27.02837095,8.286805099,"LO3_2019","Tillering"
-24.89986787,8.577898704,"LO3_2019","Tillering"
-24.76317708,9.400907294,"LO3_2019","Tillering"
-24.17712206,8.755301396,"LO3_2019","Tillering"
-24.79556713,8.324168949,"LO3_2019","Tillering"
-23.94096124,10.91760041,"SC1_2019","Tillering"
-23.64405803,9.016675006,"SC1_2019","Tillering"
-24.20175957,9.115968637,"SC1_2019","Tillering"
-25.28280026,9.166764843,"SC1_2019","Tillering"
-24.81570489,10.52824038,"SC1_2019","Tillering"
-24.77008058,9.925075848,"SC1_2019","Tillering"
-25.19810919,8.565664076,"SO1_2019","Tillering"
-23.70977635,11.40084006,"SO1_2019","Tillering"
-26.05685722,8.034045454,"LC1_2019","Flowering"
-26.71943107,7.49027725,"LO1_2019","Flowering"
-27.86330004,7.366609931,"LO1_2019","Flowering"
-26.00048682,8.177262248,"LC2_2019","Flowering"
-28.87379309,8.571407963,"LO2_2019","Flowering"
-27.64859543,7.20354899,"LC3_2019","Flowering"
-28.51678566,5.730898804,"LO3_2019","Flowering"
-27.1292159,7.864259497,"SC1_2019","Flowering"
-27.81367205,6.886917024,"MC3_2019","Flowering"
-21.87520489,8.136636042,"MC3_2019","Flowering"
-24.22090497,9.176638893,"MC3_2019","Flowering"
-18.72724002,9.08461289,"MO3_2019","Flowering"
-15.7124119,7.701838168,"MO3_2019","Flowering"
-21.85049257,7.518494154,"MO3_2019","Flowering"
-16.41970913,7.389619777,"MO3_2019","Flowering"
-26.81504615,7.756577632,"MO1_2019","Flowering"
-26.32988804,7.863811441,"MO1_2019","Flowering"
-25.46867671,6.110826374,"MO1_2019","Flowering"
-26.39325725,7.463520801,"MC1_2019","Flowering"
-27.42703402,7.175091306,"MC1_2019","Flowering"
-26.99464238,6.985152845,"MC1_2019","Flowering"
-27.34193315,5.69223752,"MC1_2019","Flowering"
-27.83097168,6.123334249,"MC1_2019","Flowering"
-26.80439508,6.132447861,"MC1_2019","Flowering"
-27.29434929,7.351272943,"MC1_2019","Flowering"
-28.23732604,8.831251321,"MO2_2019","Flowering"
-27.54032213,8.509642106,"MO2_2019","Flowering"
-26.83522608,6.290778193,"MC2_2019","Flowering"
-26.95491257,5.994659132,"MC2_2019","Flowering"
-27.96128527,5.658766715,"MC2_2019","Flowering"
-24.90181578,7.739899512,"SC1_2019","Ripening"
-28.20491222,8.097400086,"SO1_2019","Ripening"
-24.71558203,8.674469436,"MC1_2019","Ripening"
-28.41894288,6.731780708,"MC1_2019","Ripening"
-28.0855533,6.156040513,"MC1_2019","Ripening"
-26.25540297,7.108225996,"MC1_2019","Ripening"
-27.35993684,6.0938183,"MC1_2019","Ripening"
-25.13848917,8.699727334,"MO1_2019","Ripening"
